"element","A","B","C","D"
"projekt","stav = 6","stav = 6","stav > 0","TRUE"
"projekt/oznamovatel","FALSE","FALSE","stav = 1 OR my organisation record","TRUE"
"archeologicky_zaznam","stav = 3","TRUE","TRUE","TRUE"
"let","TRUE","TRUE","TRUE","TRUE"
"adb","stav_pom  = 3","TRUE","TRUE","TRUE"
"dokument","stav = 3","TRUE","TRUE","TRUE"
"ext_zdroj","stav = 3","TRUE","TRUE","TRUE"
"pian","stav = 2","TRUE","TRUE","TRUE"
"samostatny_nalez","stav = 4","stav = 4 OR my record","stav = 4 OR my organisation record","TRUE"
"uzivatel","FALSE","my record","my record","TRUE"
"heslo ","TRUE","TRUE","TRUE","TRUE"
"ruian_kraj","TRUE","TRUE","TRUE","TRUE"
"ruian_okres","TRUE","TRUE","TRUE","TRUE"
"ruian_katastr","TRUE","TRUE","TRUE","TRUE"
"organizace ","TRUE","TRUE","TRUE","TRUE"
"osoba","TRUE","TRUE","TRUE","TRUE"
