"setSpec","setName","vocabulary"
"projekt","Projekty / Projects","FALSE"
"archeologicky_zaznam","Archeologické záznamy / Archaeological Records","FALSE"
"archeologicky_zaznam:akce","Akce / Fieldwork Events","FALSE"
"archeologicky_zaznam:lokalita","Lokality / Sites","FALSE"
"let","Lety / Flights","FALSE"
"adb","Archeologické dokumentační body / Archaeological Documentation Points","FALSE"
"dokument","Dokumenty / Documents","FALSE"
"dokument:3d","Knihovna 3D / 3D Library","FALSE"
"ext_zdroj","Externí zdroje / External Sources","FALSE"
"pian","PIAN / Spatial Units","FALSE"
"samostatny_nalez","Samostatné nálezy / Individual Finds","FALSE"
"uzivatel","Uživatelé / Users","FALSE"
"heslo","Hesláře / Vocabularies","TRUE"
"heslo:adb_podnet","Heslář: Podnět / Vocabulary: Intervention Motivation","TRUE"
"heslo:adb_typ","Heslář: Typ sondy / Vocabulary: Trench Type","TRUE"
"heslo:akce_typ","Heslář: Typ akce / Vocabulary: Fieldwork Event Type","TRUE"
"heslo:akce_typ_kat","Heslář: Typ akce (kategorie) / Vocabulary: Fieldwork Event Type (category)","TRUE"
"heslo:aktivita","Heslář: Aktivita / Vocabulary: Activity","TRUE"
"heslo:areal","Heslář: Areál / Vocabulary: Activity Area","TRUE"
"heslo:areal_kat","Heslář: Areál (kategorie) / Vocabulary: Activity Area (category)","TRUE"
"heslo:datum_specifikace","Heslář: Specifikace data / Vocabulary: Execution Date Accuracy","TRUE"
"heslo:dohlednost","Heslář: Dohlednost / Vocabulary: Visibility","TRUE"
"heslo:dok_jednotka_typ","Heslář: Typ dokumentační jednotky / Vocabulary: Documentation Unit Type","TRUE"
"heslo:dokument_format","Heslář: Formát dokumentu / Vocabulary: Document Format","TRUE"
"heslo:dokument_licence","Heslář: Licence / Vocabulary: Licence","TRUE"
"heslo:dokument_material","Heslář: Materiál dokumentu / Vocabulary: Document Material","TRUE"
"heslo:dokument_nahrada","Heslář: Náhrada dokumentu / Vocabulary: Document Substitution","TRUE"
"heslo:dokument_rada","Heslář: Řada dokumentu / Vocabulary: Document Series","TRUE"
"heslo:dokument_typ","Heslář: Typ dokumentu / Vocabulary: Document Type","TRUE"
"heslo:dokument_ulozeni","Heslář: Uložení dokumentu / Vocabulary: Location of Original Document","TRUE"
"heslo:dokument_zachovalost","Heslář: Zachovalost dokumentu / Vocabulary: State of Document Preservation","TRUE"
"heslo:ext_zdroj_typ","Heslář: Typ externího zdroje / Vocabulary: External Source Type","TRUE"
"heslo:jazyk","Heslář: Jazyk / Vocabulary: Language","TRUE"
"heslo:jistota_urceni","Heslář: Jistota určení / Vocabulary: Level of Confidence","TRUE"
"heslo:letfoto_tvar","Heslář: Tvar příznaku / Vocabulary: Feature Shape","TRUE"
"heslo:letiste","Heslář: Letiště / Vocabulary: Airport","TRUE"
"heslo:lokalita_druh","Heslář: Druh lokality / Vocabulary: Site Class","TRUE"
